Project ID,Project Name,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
ACR189,Miller Forest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219084,0,11716,12401,0,0,10837,12228,0
ACR190,Big Sky Dairy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19179,24558,23610,46906,0,50217,29681,0
ACR191,"MS Renovaveis Wind Power Complex: Mar e Terra, Areia Branca, Embuaca and  Icaraí",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,587064,23129
ACR192,Green Assets-Brookgreen Gardens Improved Forest Management Project,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162551,0,0,0,0,39656,0,0
ACR193,EOS ARB ODS 2013-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84418,0,0,0,0,0,0,0,0
ACR195,EOS ARB ODS 2014-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122080,0,0,0,0,0,0,0,0
ACR196,RR ACR 2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56124,0,0,0,0,0,0,0
ACR197,San Juan National Forest Carbon Demonstration Project (II),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACR198,Wabashco Clean Sweep 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88044,0,0,0,0,0,0,0,0
ACR199,Finite Carbon - The Forestland Group CT Lakes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1165601,0,0,0,341589,0,0,0,460685
ACR200,Brush Creek,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53171,0,18416,0,29904,0,9914
ACR202,Blue Source- Goodman Improved Forest Management Project,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,693615,0,38113,0,89768,26394,0,0
ACR203,2014-P5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACR204,Improvements in Vehicle Efficiency for Marten Transport,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168870,38639,0,0,0,0,0,0,0
ACR205,Emission Reductions in California Rice Management Systems,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202,0,0,0,0,0
