Project ID,Project Name, Type,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
ACR154,"Truck Stop Electrification, Pennsylvania",Truck Stop Electrification,0,0,0,0,0,0,0,0,0,0,2486,10123,11523,633,53,0,0,0,0,0,0,0,0,0,0,0,0
ACR155,"Truck Stop Electrification, South Carolina",Truck Stop Electrification,0,0,0,0,0,0,0,0,107,271,576,1439,1635,1201,100,0,0,0,0,0,0,0,0,0,0,0,0
ACR156,"Truck Stop Electrification, Tennessee",Truck Stop Electrification,0,0,0,0,0,0,0,1159,1330,1396,1945,4607,5291,3406,284,0,0,0,0,0,0,0,0,0,0,0,0
ACR157,"Truck Stop Electrification, Texas",Truck Stop Electrification,0,0,0,0,0,0,0,0,0,3839,12920,23241,27818,16702,1392,0,0,0,0,0,0,0,0,0,0,0,0
ACR158,"Truck Stop Electrification, Utah",Truck Stop Electrification,0,0,0,0,0,0,0,0,0,0,0,845,1479,1085,90,0,0,0,0,0,0,0,0,0,0,0,0
ACR159,"Truck Stop Electrification, West Virginia",Truck Stop Electrification,0,0,0,0,0,0,0,0,0,0,124,909,916,556,46,0,0,0,0,0,0,0,0,0,0,0,0
ACR160,Tyson Wastewater Treatment,Methane Recovery in Wastewater,0,0,0,0,0,0,0,0,0,0,0,0,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACR161,Upper Rock LFG to Energy,Landfill Methane,0,0,0,0,0,0,0,0,0,0,129666,54966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACR162,International Paper,Energy Efficiency,0,0,0,0,0,0,0,135250,164750,139035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACR163,Des Plaines LFG to Energy,Landfill Methane,0,0,0,0,0,0,0,2026,0,3266,61164,49419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACR164,DANC,Landfill Methane,0,0,0,0,0,0,0,68238,75658,76118,122662,133877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACR165,Malhas Menegotti Industria Textil Fuel Switch,Fuel Switching,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253991,0,0,0,0,0,0,0,0,0
ACR167,Nitrogen Oxide Abatement at the DuPont Sabine River Works Adipic Acid Facility,N2O Destruction in Adipic Acid Production,0,0,0,0,0,125000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACR168,Angeles National Forest Carbon Demonstration Project,Afforestation/Reforestation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACR170,ECC ODS Destruction 2012,Ozone Depleting Substances Recovery & Destruction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,306517,0,0,0,0,0,0,0,0,0,0
ACR171,Nitrous Oxide Reduction in Corn,Nitrogen Management,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
ACR172,EOS ARB ODS 2013-2,Ozone Depleting Substances Recovery & Destruction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55996,0,0,0,0,0,0,0,0,0
ACR173,Round Valley Indian Tribes Improved Forest Management Project,Improved Forest Management,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,464571,7177,38711,2926,0,0,0,0,0,0
ACR174,Blue Source - Bishop Improved Forest Management Project,Improved Forest Management,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACR175,DPC Domestic ODS Destruction Project #12,Ozone Depleting Substances Recovery & Destruction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACR176,ECC ODS Destruction 2013,Ozone Depleting Substances Recovery & Destruction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255227,0,0,0,0,0,0,0,0,0
ACR177,Monjolinho Energética S/A Hydropower Plant Project (Alzir dos Santos Antunes),Hydropower,0,0,0,0,0,0,0,0,0,0,0,0,0,24245,132737,91970,102825,180189,141643,0,0,0,0,0,0,0,0
ACR178,EOS ARB ODS 2013-4,Ozone Depleting Substances Recovery & Destruction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACR179,Wabashco Clean Sweep I,Ozone Depleting Substances Recovery & Destruction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50600,0,0,0,0,0,0,0,0,0
ACR181,EOS ARB ODS 2013-6,Ozone Depleting Substances Recovery & Destruction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51864,0,0,0,0,0,0,0,0,0
ACR182,Hanes Ranch Forest Carbon Project,Improved Forest Management,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86628,8121,8121,0,9941,8850,8877,0,0,0
ACR183,D.P.C. Domestic ODS Destruction Project #12,Ozone Depleting Substances Recovery & Destruction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38517,0,0,0,0,0,0,0,0,0
ACR184,EOS ACR 2013,Ozone Depleting Substances Recovery & Destruction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249025,0,0,0,0,0,0,0,0,0
ACR186,Devil Fire Reforestation,Afforestation/Reforestation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACR187,Storrie Fire Reforestation,Afforestation/Reforestation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACR188,"Truck Stop Electrification, BEF",Truck Stop Electrification,0,0,0,0,0,0,0,0,0,0,0,0,0,0,525,3835,5649,6114,6934,6945,5597,3528,2565,1857,0,0,0
ACR189,Miller Forest,Improved Forest Management,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219084,5805,5911,6120,6281,5706,5131,6055,6173,0
ACR190,Big Sky Dairy,Manure Methane Digester,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19179,24558,23610,22071,24835,24535,25682,29681,0,0
ACR191,"MS Renovaveis Wind Power Complex: Mar e Terra, Areia Branca, Embuaca and  Icaraí",Wind,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85320,166534,113242,112457,109511,23129,0,0
ACR192,Green Assets-Brookgreen Gardens Improved Forest Management Project,Improved Forest Management,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162551,5286,5416,5549,5683,5821,11901,0,0,0
ACR193,EOS ARB ODS 2013-7,Ozone Depleting Substances Recovery & Destruction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84418,0,0,0,0,0,0,0,0
ACR195,EOS ARB ODS 2014-1,Ozone Depleting Substances Recovery & Destruction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122080,0,0,0,0,0,0,0,0
ACR196,RR ACR 2013,Ozone Depleting Substances Recovery & Destruction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56124,0,0,0,0,0,0,0,0,0
ACR197,San Juan National Forest Carbon Demonstration Project (II),Afforestation/Reforestation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
