Project ID,Project Name,Voluntary Registry,"ARB 
Project",Voluntary Status,Scope, Type,Reduction / Removal,Methodology / Protocol,Region,Country,State,Project Site Location,Project Developer,"Total Credits 
Issued","Total Credits 
Retired",Total Credits Remaining,"Total Buffer 
Pool Deposits",Reversals Covered by Buffer Pool,Reversals Not Covered by Buffer,First Year of Project
CAR1426,Bluesource - Allagash Headwaters Improved Forest Management Project,CAR,No,Completed,Forestry & Land Use,Improved Forest Management,Mixed,ARB Compliance Offset Protocol: U.S. Forest Projects,North America,United States,MAINE,Piscataquis County,"Blue Source, LLC",0,0,0,0,,,
CAR1428,Manglares San Crisanto,CAR,No,Registered,Forestry & Land Use,Improved Forest Management,Mixed,CAR Mexico Forest Protocol,North America,Mexico,YUCATÁN,Beach,FUNDACION SAN CRISANTO,12320,10368,1952,1029,,,2018.0
CAR1429,Manglares Ursulo Galvan,CAR,No,Registered,Forestry & Land Use,Improved Forest Management,Mixed,CAR Mexico Forest Protocol,North America,Mexico,TABASCO,Basin,EJIDO URSULO GALVAN,4792,0,4792,400,,,2019.0
CAR1432,Ejido sierra de Agua,CAR,No,Registered,Forestry & Land Use,Improved Forest Management,Mixed,CAR Mexico Forest Protocol,North America,Mexico,VERACRUZ,Perote,SENDAS AC,2612,0,2612,217,,,2019.0
CAR1433,Ejido La Libertad,CAR,No,Registered,Forestry & Land Use,Improved Forest Management,Mixed,CAR Mexico Forest Protocol,North America,Mexico,VERACRUZ,Perote,SENDAS AC,4916,0,4916,410,,,2019.0
CAR1434,Ejido San Pedro Buenavista,CAR,No,Registered,Forestry & Land Use,Improved Forest Management,Mixed,CAR Mexico Forest Protocol,North America,Mexico,VERACRUZ,Acajete,SENDAS AC,1933,0,1933,159,,,2019.0
CAR1435,Ejido Coatitila,CAR,No,Registered,Forestry & Land Use,Improved Forest Management,Mixed,CAR Mexico Forest Protocol,North America,Mexico,VERACRUZ,Xico,SENDAS AC,3296,0,3296,273,,,2019.0
CAR1436,Finite Carbon - Dingess Rum IFM,CAR,Compliance,Registered,Forestry & Land Use,Improved Forest Management,Mixed,ARB Compliance Offset Protocol: U.S. Forest Projects,North America,United States,WEST VIRGINIA,Logan and Boone Counties,NRP (Operating) LLC,1324082,1282518,41564,282588,,,2021.0
CAR1437,Ejido El Agua de Los Pescados y sus Anexos,CAR,No,Registered,Forestry & Land Use,Improved Forest Management,Mixed,CAR Mexico Forest Protocol,North America,Mexico,VERACRUZ,Perote,SENDAS AC,973,0,973,78,,,2019.0
CAR1438,Predio Las Piedras,CAR,No,Registered,Forestry & Land Use,Improved Forest Management,Mixed,CAR Mexico Forest Protocol,North America,Mexico,VERACRUZ,Acajete,SENDAS AC,2597,0,2597,221,,,2019.0
CAR1439,Valle Odiyana,CAR,No,Listed,Forestry & Land Use,Improved Forest Management,Mixed,CAR Mexico Forest Protocol,North America,Mexico,VERACRUZ,Ayahualulco,SENDAS AC,0,0,0,0,,,
CAR1440,Predio Las Cañadas,CAR,No,Listed,Forestry & Land Use,Improved Forest Management,Mixed,CAR Mexico Forest Protocol,North America,Mexico,VERACRUZ,Ayahualulco,SENDAS AC,0,0,0,0,,,
CAR1441,A-Gas 5-2020,CAR,Compliance,Registered,Chemical Processes,Ozone Depleting Substances Recovery & Destruction,Reduction,ARB Compliance Offset Protocol: Destruction of U.S. Ozone Depleting Substances Banks,North America,United States,OHIO,"Wood County, Bowling Green, Ohio",Reclamation Technologies Inc.,78211,20163,58048,0,,,2020.0
CAR1442,Shasta Cascade Timberlands Forest Carbon Project,CAR,No,Listed,Forestry & Land Use,Improved Forest Management,Mixed,ARB Compliance Offset Protocol: U.S. Forest Projects,North America,United States,CALIFORNIA,"Trinity, Shasta and Siskiyou Counties; Near Redding",Shasta Cascade Timberlands LLC,0,0,0,0,,,
CAR1443,"Carbono, Agua y Biodiversidad Indígena Maninaltepec",CAR,No,Registered,Forestry & Land Use,Improved Forest Management,Mixed,CAR Mexico Forest Protocol,North America,Mexico,OAXACA,Oaxaca de Juárez,INTEGRADORA DE COMUNIDADES INDIGENAS Y CAMPESINAS DE OAXACA AC,31874,31874,0,2674,,,2019.0
CAR1445,Captura de carbono forestal en la Comunidad de Rincón de Guadalupe,CAR,No,Registered,Forestry & Land Use,Improved Forest Management,Mixed,CAR Mexico Forest Protocol,North America,Mexico,STATE OF MÉXICO,CDO SN RINCÓN DE GPE. AMANALCO,TERRITORIOS RURALES SOSTENIBLES AC,881,0,881,72,,,2019.0
CAR1446,Captura de carbono forestal en el Ejido Corral de Piedra,CAR,No,Registered,Forestry & Land Use,Improved Forest Management,Mixed,CAR Mexico Forest Protocol,North America,Mexico,STATE OF MÉXICO,"CON. S/N, CORRAL DE PIEDRA, AMANALCO. CP. 51260",TERRITORIOS RURALES SOSTENIBLES AC,3003,0,3003,249,,,2019.0
CAR1447,Captura de carbono forestal en la comunidad de San Miguel Tenextepec,CAR,No,Registered,Forestry & Land Use,Improved Forest Management,Mixed,CAR Mexico Forest Protocol,North America,Mexico,STATE OF MÉXICO,CDO SN SAN MIGUEL MÉXICO 51260,TERRITORIOS RURALES SOSTENIBLES AC,1403,0,1403,116,,,2019.0
CAR1448,Captura de carbono forestal en el Ejido El Capulín,CAR,No,Registered,Forestry & Land Use,Improved Forest Management,Mixed,CAR Mexico Forest Protocol,North America,Mexico,STATE OF MÉXICO,"Calle 16 Septiembre, No. 100, El Capulín, Amanalco, C.P. 51260",TERRITORIOS RURALES SOSTENIBLES AC,7572,0,7572,634,,,2019.0
CAR1449,Captura de carbono forestal en la comunidad de Santa María y sus Barrios,CAR,No,Registered,Forestry & Land Use,Improved Forest Management,Mixed,CAR Mexico Forest Protocol,North America,Mexico,STATE OF MÉXICO,"Dom. con. Santa María de las Delicias S/N, Villa de Allende, C.P. 51000",TERRITORIOS RURALES SOSTENIBLES AC,6984,0,6984,585,,,2019.0
CAR1450,Captura de carbono forestal en el Ejido San Jerónimo,CAR,No,Registered,Forestry & Land Use,Improved Forest Management,Mixed,CAR Mexico Forest Protocol,North America,Mexico,STATE OF MÉXICO,DOM CON SAN JERÓNIMO,TERRITORIOS RURALES SOSTENIBLES AC,6125,0,6125,512,,,2019.0
CAR1451,Captura de carbono forestal en el Ejido San Juan,CAR,No,Registered,Forestry & Land Use,Improved Forest Management,Mixed,CAR Mexico Forest Protocol,North America,Mexico,STATE OF MÉXICO,DOM. CON. SAN JUAN,TERRITORIOS RURALES SOSTENIBLES AC,3018,0,3018,252,,,2019.0
CAR1452,Captura de carbono forestal en el Ejido San Mateo,CAR,No,Registered,Forestry & Land Use,Improved Forest Management,Mixed,CAR Mexico Forest Protocol,North America,Mexico,STATE OF MÉXICO,DOM. CON. SAN MATEO,TERRITORIOS RURALES SOSTENIBLES AC,605,0,605,49,,,2019.0
CAR1453,Captura de carbono forestal en el  Ejido Rincón de Guadalupe,CAR,No,Registered,Forestry & Land Use,Improved Forest Management,Mixed,CAR Mexico Forest Protocol,North America,Mexico,STATE OF MÉXICO,Amanalco,TERRITORIOS RURALES SOSTENIBLES AC,2977,0,2977,248,,,2019.0
CAR1454,Captura de carbono forestal en el Ejido El Potrero,CAR,No,Registered,Forestry & Land Use,Improved Forest Management,Mixed,CAR Mexico Forest Protocol,North America,Mexico,STATE OF MÉXICO,CON. 7 KM DE TERRACERÍA CAM A TURCIO,TERRITORIOS RURALES SOSTENIBLES AC,4886,0,4886,409,,,2019.0
CAR1455,"Captura de carbono en los Bosques de la Comunidad Indígena Nuevo San Juan Parangaricutiro, México.",CAR,No,Registered,Forestry & Land Use,Improved Forest Management,Mixed,CAR Mexico Forest Protocol,North America,Mexico,MICHOACÁN,NUEVO PARANGARICUTIRO,"SERVICIO Y CONSULTORIA AMBIENTAL Y FORESTAL, S. DE .R.L. DE C.V.",71035,21035,50000,5959,,,2020.0
CAR1456,ClimeCo ODS Destruction 34,CAR,Compliance,Registered,Chemical Processes,Ozone Depleting Substances Recovery & Destruction,Reduction,ARB Compliance Offset Protocol: Destruction of U.S. Ozone Depleting Substances Banks,North America,United States,OHIO,East Liverpool,ClimeCo LLC,127338,0,127338,0,,,2020.0
CAR1458,A-Gas 1-2021,CAR,Compliance,Registered,Chemical Processes,Ozone Depleting Substances Recovery & Destruction,Reduction,ARB Compliance Offset Protocol: Destruction of U.S. Ozone Depleting Substances Banks,North America,United States,OHIO,"Wood County, Bowling Green, Ohio",Reclamation Technologies Inc.,84267,84267,0,0,,,2020.0
CAR1459,Indigo U.S. Project No.1,CAR,No,Registered,Agriculture,Sustainable Agriculture,Mixed,CAR Soil Enrichment Protocol,North America,United States,MASSACHUSETTS,AL AZ AR CA CO CT DE FL GA ID IL IN IA KS KY LA ME MD MA MI MN MS MO MT NE NV NH NJ NM NY NC ND OH OK OR PA RI SC SD TN TX UT VT VA WA WV WI WY,Indigo Ag,111645,61600,50045,21969,,,2018.0
CAR1460,54 Ranch,CAR,No,Listed,Forestry & Land Use,Avoided Grassland Conversion,Reduction,CAR Grassland Protocol,North America,United States,MONTANA,"Mussellshell County, Montana",The Climate Trust,0,0,0,0,,,
CAR1461,"Carbono, Agua y Biodiversidad Indígena Ixtlán",CAR,No,Registered,Forestry & Land Use,Improved Forest Management,Mixed,CAR Mexico Forest Protocol,North America,Mexico,OAXACA,"Ixtlán de Juárez, Oaxaca",INTEGRADORA DE COMUNIDADES INDIGENAS Y CAMPESINAS DE OAXACA AC,55401,55401,0,4649,,,2020.0
CAR1462,"Carbono, Agua y Biodiversidad Indígena Metaltepec",CAR,No,Registered,Forestry & Land Use,Improved Forest Management,Mixed,CAR Mexico Forest Protocol,North America,Mexico,OAXACA,Oaxaca de Juárez,INTEGRADORA DE COMUNIDADES INDIGENAS Y CAMPESINAS DE OAXACA AC,7893,7893,0,659,,,2020.0
CAR1463,"Carbono, Agua y Biodiversidad Indígena Peñoles",CAR,No,Registered,Forestry & Land Use,Improved Forest Management,Mixed,CAR Mexico Forest Protocol,North America,Mexico,OAXACA,Santa María Peñolez,INTEGRADORA DE COMUNIDADES INDIGENAS Y CAMPESINAS DE OAXACA AC,47195,46482,713,3959,,,2020.0
CAR1464,"Carbono, Agua y Biodiversidad Indígena San Bartolomé",CAR,No,Listed,Forestry & Land Use,Improved Forest Management,Mixed,CAR Mexico Forest Protocol,North America,Mexico,OAXACA,San Bartolomé Loxicha,INTEGRADORA DE COMUNIDADES INDIGENAS Y CAMPESINAS DE OAXACA AC,0,0,0,0,,,
CAR1465,Pueblos Mancomunados de Oaxaca,CAR,No,Registered,Forestry & Land Use,Improved Forest Management,Mixed,CAR Mexico Forest Protocol,North America,Mexico,OAXACA,Oaxaca de Juarez,Yaax Carbon,29873,29873,0,2505,,,2020.0
CAR1468,Grinde Grasslands Project,CAR,No,Listed,Forestry & Land Use,Avoided Grassland Conversion,Reduction,CAR Grassland Protocol,North America,Canada,ALBERTA,Calgary,Bank of Montreal,0,0,0,0,,,
CAR1471,Westman Grasslands Project,CAR,No,Listed,Forestry & Land Use,Avoided Grassland Conversion,Reduction,CAR Grassland Protocol,North America,Canada,ALBERTA,County of Vermillion River,Bank of Montreal,0,0,0,0,,,
CAR1475,Gibson Grassland Project,CAR,No,Listed,Forestry & Land Use,Avoided Grassland Conversion,Reduction,CAR Grassland Protocol,North America,Canada,ALBERTA,Vermilion River County #24,Bank of Montreal,0,0,0,0,,,
CAR1476,Hansen Grassland Project,CAR,No,Listed,Forestry & Land Use,Avoided Grassland Conversion,Reduction,CAR Grassland Protocol,North America,Canada,ALBERTA,Cardston County,Bank of Montreal,0,0,0,0,,,
CAR1480,Phlogiston Phase I,CAR,No,Registered,Chemical Processes,N2O Destruction in Adipic Acid Production,Reduction,CAR Adipic Acid Production Protocol,North America,United States,FLORIDA,"Cantonment, FL",Ascend Performance Materials Operations LLC,6492667,863124,5629543,0,,,2021.0
CAR1481,A-Gas 2-2021,CAR,Compliance,Registered,Chemical Processes,Ozone Depleting Substances Recovery & Destruction,Reduction,ARB Compliance Offset Protocol: Destruction of U.S. Ozone Depleting Substances Banks,North America,United States,OHIO,"Wood County, Bowling Green, Ohio",Reclamation Technologies Inc.,56964,34743,22221,0,,,2021.0
CAR1484,"Guadalupe Zajú, Chanjul, San Antonio Chicharras",CAR,No,Listed,Forestry & Land Use,Afforestation/Reforestation,Impermanent Removal,CAR Mexico Forest Protocol,North America,Mexico,CHIAPAS,Municipio de Tapachula,Toroto SAPI de CV,0,0,0,0,,,
CAR1485,La Gloria de Gante,CAR,No,Listed,Forestry & Land Use,Afforestation/Reforestation,Impermanent Removal,CAR Mexico Forest Protocol,North America,Mexico,CHIAPAS,Municipio de Tapachula,Toroto SAPI de CV,0,0,0,0,,,
CAR1486,"CAPTURA DE CARBONO EN EL BOSQUE DE LA SOCIEDAD DE SOLIDARIDAD SOCIAL PIEDRA CANTEADA, NANACAMILPA  DE MARIANO  ARISTA, TLAXCALA,MEXICO",CAR,No,Registered,Forestry & Land Use,Improved Forest Management,Mixed,CAR Mexico Forest Protocol,North America,Mexico,TLAXCALA,"NANACAMILPA DE MARIANO ARISTA,TLAXCALA","SERVICIO Y CONSULTORIA AMBIENTAL Y FORESTAL, S. DE .R.L. DE C.V.",9662,0,9662,830,,,2021.0
CAR1487,Collins - Modoc Reforestation,CAR,No,Listed,Forestry & Land Use,Afforestation/Reforestation,Impermanent Removal,,North America,United States,CALIFORNIA,"Modoc County, CA",RenewWest,0,0,0,0,,,
CAR1488,Rosendale Anaerobic Digester,CAR,No,Listed,Agriculture,Manure Methane Digester,Reduction,,North America,United States,WISCONSIN,Pickett WI,"DTE Biomass Energy, Inc.",0,0,0,0,,,
CAR1489,Kepel Creek Improvement Forest Management Project,CAR,No,Listed,Forestry & Land Use,Improved Forest Management,Mixed,ARB Compliance Offset Protocol: U.S. Forest Projects,North America,United States,CALIFORNIA,Klamath,Yurok Tribe,0,0,0,0,,,
CAR1490,CHD Refo,CAR,No,Listed,Forestry & Land Use,Afforestation/Reforestation,Impermanent Removal,,North America,United States,CALIFORNIA,Shasta & Trinity Counties,Sierra Pacific Industries,0,0,0,0,,,
CAR1491,Camp Refo,CAR,No,Listed,Forestry & Land Use,Afforestation/Reforestation,Impermanent Removal,,North America,United States,CALIFORNIA,Butte County,Sierra Pacific Industries,0,0,0,0,,,
CAR1492,Highsplint 4-2021,CAR,No,Listed,Forestry & Land Use,Improved Forest Management,Mixed,ARB Compliance Offset Protocol: U.S. Forest Projects,North America,United States,KENTUCKY,"Highsplint, Harlan County","Compass Carbon, LLC",0,0,0,0,,,
CAR1493,A-Gas 3-2021,CAR,Compliance,Registered,Chemical Processes,Ozone Depleting Substances Recovery & Destruction,Reduction,ARB Compliance Offset Protocol: Destruction of U.S. Ozone Depleting Substances Banks,North America,United States,OHIO,"Wood County, Bowling Green, Ohio",Reclamation Technologies Inc.,70708,0,70708,0,,,2021.0
CAR1494,Ejido Topia,CAR,No,Registered,Forestry & Land Use,Improved Forest Management,Mixed,CAR Mexico Forest Protocol,North America,Mexico,DURANGO,Topia,"Unidad de Conservación y Desarrollo Forestal Integral, Topia S.C.",13923,0,13923,1167,,,2020.0
CAR1495,Ejido Valle de Topia,CAR,No,Registered,Forestry & Land Use,Improved Forest Management,Mixed,CAR Mexico Forest Protocol,North America,Mexico,DURANGO,Topia,"Unidad de Conservación y Desarrollo Forestal Integral, Topia S.C.",18545,0,18545,1555,,,2020.0
CAR1496,Comunidad Rio y Papudos,CAR,No,Registered,Forestry & Land Use,Improved Forest Management,Mixed,CAR Mexico Forest Protocol,North America,Mexico,DURANGO,Canelas,"Unidad de Conservación y Desarrollo Forestal Integral, Topia S.C.",9405,0,9405,788,,,2020.0
CAR1497,Ejido Salto de Camellones,CAR,No,Registered,Forestry & Land Use,Improved Forest Management,Mixed,CAR Mexico Forest Protocol,North America,Mexico,DURANGO,Santiago Papasquiaro,"Unidad de Conservación y Desarrollo Forestal Integral, Topia S.C.",32379,0,32379,2716,,,2020.0
CAR1498,A-Gas 4-2021,CAR,Compliance,Registered,Chemical Processes,Ozone Depleting Substances Recovery & Destruction,Reduction,ARB Compliance Offset Protocol: Destruction of U.S. Ozone Depleting Substances Banks,North America,United States,OHIO,"Wood County, Bowling Green, Ohio",Reclamation Technologies Inc.,60731,0,60731,0,,,2021.0
CAR1499,Ejido Las Vigas,CAR,No,Registered,Forestry & Land Use,Improved Forest Management,Mixed,CAR Mexico Forest Protocol,North America,Mexico,VERACRUZ,"Domicilio conocido, Las Vigas",SENDAS AC,8272,0,8272,693,,,2020.0
CAR1500,Ejido Tonalaco,CAR,No,Registered,Forestry & Land Use,Improved Forest Management,Mixed,CAR Mexico Forest Protocol,North America,Mexico,VERACRUZ,"Domicilio conocido, Tonalaco",SENDAS AC,1677,0,1677,139,,,2020.0
CAR1505,Proyecto forestal de carbono del Ejido Pioneros de Río Xhon - Ha,CAR,No,Registered,Forestry & Land Use,Improved Forest Management,Mixed,CAR Mexico Forest Protocol,North America,Mexico,CAMPECHE,Calakmul,Forest Rangers Alliance,2577,0,2577,215,,,2020.0
CAR1506,Proyecto forestal de carbono del Ejido Lázaro Cárdenas Número 2,CAR,No,Registered,Forestry & Land Use,Improved Forest Management,Mixed,CAR Mexico Forest Protocol,North America,Mexico,CAMPECHE,Calkmul,Forest Rangers Alliance,610,0,610,50,,,2020.0
CAR1507,Proyecto forestal de carbono del Ejido Xbonil,CAR,No,Registered,Forestry & Land Use,Improved Forest Management,Mixed,CAR Mexico Forest Protocol,North America,Mexico,CAMPECHE,Xbonil,Forest Rangers Alliance,19064,0,19064,1598,,,2020.0
CAR1508,Bonos Comunitarios CO2-El Naranjal,CAR,No,Registered,Forestry & Land Use,Improved Forest Management,Mixed,CAR Mexico Forest Protocol,North America,Mexico,QUINTANA ROO,"México, José María Morelos",SESISA,7490,0,7490,627,,,2020.0
CAR1509,Bonos Comunitarios CO2-Candelaria II,CAR,No,Registered,Forestry & Land Use,Improved Forest Management,Mixed,CAR Mexico Forest Protocol,North America,Mexico,QUINTANA ROO,"México, José María Morelos",SESISA,10085,0,10085,845,,,2020.0
CAR1510,Bonos Comunitarios CO2-San Antonio Tuk,CAR,No,Registered,Forestry & Land Use,Improved Forest Management,Mixed,CAR Mexico Forest Protocol,North America,Mexico,QUINTANA ROO,"México, José María Morelos",SESISA,7158,0,7158,599,,,2020.0
CAR1511,Bonos Comunitarios CO2_San Felipe Oriente,CAR,No,Registered,Forestry & Land Use,Improved Forest Management,Mixed,CAR Mexico Forest Protocol,North America,Mexico,QUINTANA ROO,"México, José María Morelos",SESISA,1340,0,1340,111,,,2020.0
CAR1513,AgriCapture Soil Enrichment #1,CAR,No,Registered,Agriculture,Sustainable Agriculture,Mixed,CAR Soil Enrichment Protocol,North America,United States,ARKANSAS,"AR, MS, LA, MO",AgriCapture Inc,32,0,32,0,,,2019.0
CAR1514,Carbono Petcacab,CAR,No,Registered,Forestry & Land Use,Improved Forest Management,Mixed,CAR Mexico Forest Protocol,North America,Mexico,QUINTANA ROO,"Felipe Carrillo Puerto, Quintana Roo",Celso Vidal Chan Rivas,49253,13446,35807,4133,,,2020.0
CAR1515,ClimeCo ODS Destruction 35,CAR,Compliance,Registered,Chemical Processes,Ozone Depleting Substances Recovery & Destruction,Reduction,ARB Compliance Offset Protocol: Destruction of U.S. Ozone Depleting Substances Banks,North America,United States,OHIO,East Liverpool,ClimeCo LLC,122101,0,122101,0,,,2021.0
CAR1516,GJ Tevelde Ranch Dairy Digester,CAR,No,Listed,Agriculture,Manure Methane Digester,Reduction,CAR U.S. Livestock Protocol,North America,United States,CALIFORNIA,Tulare County,"Maas Energy Works, Inc.",0,0,0,0,,,
CAR1517,Two Fiets Digester,CAR,No,Registered,Agriculture,Manure Methane Digester,Reduction,CAR U.S. Livestock Protocol,North America,United States,CALIFORNIA,Tipton,"Maas Energy Works, Inc.",15158,0,15158,0,,,2020.0
CAR1521,Captura de carbono forestal en el ejido San Francisco Oxtotilpan,CAR,No,Registered,Forestry & Land Use,Improved Forest Management,Mixed,CAR Mexico Forest Protocol,North America,Mexico,STATE OF MÉXICO,"San Francisco Oxtotilpan, C.P. 51320, San Francisco Oxtotilpan, México",TERRITORIOS RURALES SOSTENIBLES AC,13341,0,13341,1118,,,2020.0
CAR1522,Captura de carbono forestal en el ejido Amanalco de Becerra,CAR,No,Registered,Forestry & Land Use,Improved Forest Management,Mixed,CAR Mexico Forest Protocol,North America,Mexico,STATE OF MÉXICO,"Av. Becerra S/N a un costado de la Unidad deportiva de Amanalco de Becerra, Estado de México",TERRITORIOS RURALES SOSTENIBLES AC,2827,0,2827,236,,,2020.0
CAR1523,Captura de carbono forestal en el ejido San Miguel Tenextepec,CAR,No,Registered,Forestry & Land Use,Improved Forest Management,Mixed,CAR Mexico Forest Protocol,North America,Mexico,STATE OF MÉXICO,"San Miguel Tenextepec, S/N 51260 CP",TERRITORIOS RURALES SOSTENIBLES AC,2951,0,2951,246,,,2020.0
CAR1524,Captura de carbono forestal en los Bienes Comunales de San Miguel Ixtapan,CAR,No,Registered,Forestry & Land Use,Improved Forest Management,Mixed,CAR Mexico Forest Protocol,North America,Mexico,STATE OF MÉXICO,San Miguel Ixtapan: Cam sin nombre S/N Loc San Telmo,TERRITORIOS RURALES SOSTENIBLES AC,2388,689,1699,199,,,2020.0
CAR1525,Captura de carbono forestal en los Bienes Comunales de San Miguel Xoltepec,CAR,No,Registered,Forestry & Land Use,Improved Forest Management,Mixed,CAR Mexico Forest Protocol,North America,Mexico,STATE OF MÉXICO,San Miguel Xoltepec SN CP. 51260 por la Ziranda,TERRITORIOS RURALES SOSTENIBLES AC,1034,0,1034,85,,,2020.0
CAR1526,Captura de carbono forestal en el ejido Nuevo San Juan Atezcapan,CAR,No,Registered,Forestry & Land Use,Improved Forest Management,Mixed,CAR Mexico Forest Protocol,North America,Mexico,STATE OF MÉXICO,"Junto a telesecundaria SN CP. 51230, San Juan Atezcapan",TERRITORIOS RURALES SOSTENIBLES AC,483,237,246,39,,,2020.0
CAR1527,Captura de carbono forestal en el ejido San Miguel Sultepec,CAR,No,Registered,Forestry & Land Use,Improved Forest Management,Mixed,CAR Mexico Forest Protocol,North America,Mexico,STATE OF MÉXICO,San Miguel Xoltepec atras de la iglesia y por el molino,TERRITORIOS RURALES SOSTENIBLES AC,516,516,0,42,,,2020.0
CAR1528,Captura de carbono forestal en el ejido La Candelaria,CAR,No,Registered,Forestry & Land Use,Improved Forest Management,Mixed,CAR Mexico Forest Protocol,North America,Mexico,STATE OF MÉXICO,La Candelaria S/N CP. 51200 Loc. La Candelaria,TERRITORIOS RURALES SOSTENIBLES AC,194,194,0,15,,,2020.0
CAR1529,Captura de carbono forestal en el ejido Capilla Vieja,CAR,No,Registered,Forestry & Land Use,Improved Forest Management,Mixed,CAR Mexico Forest Protocol,North America,Mexico,STATE OF MÉXICO,"Capilla Vieja S/N Loc. Capilla Vieja, 51260, Amanalco, México.",TERRITORIOS RURALES SOSTENIBLES AC,326,326,0,26,,,2020.0
CAR1531,"Carbono, Agua y Biodiversidad Indígena Jaltianguis",CAR,No,Registered,Forestry & Land Use,Improved Forest Management,Mixed,CAR Mexico Forest Protocol,North America,Mexico,OAXACA,Comunidad de Santa María Jaltianguis,INTEGRADORA DE COMUNIDADES INDIGENAS Y CAMPESINAS DE OAXACA AC,13060,13060,0,1094,,,2020.0
CAR1532,"Carbono, Agua y Biodiversidad Indígena Comaltepec",CAR,No,Registered,Forestry & Land Use,Improved Forest Management,Mixed,CAR Mexico Forest Protocol,North America,Mexico,OAXACA,Oaxaca de Júarez,INTEGRADORA DE COMUNIDADES INDIGENAS Y CAMPESINAS DE OAXACA AC,45277,30000,15277,3799,,,2020.0
CAR1535,P. P. La Pinzión,CAR,No,Registered,Forestry & Land Use,Improved Forest Management,Mixed,CAR Mexico Forest Protocol,North America,Mexico,AGUASCALIENTES,"San José de Gracia, Aguascalientes",Bioforestal Innovación Sustentable S.C.,580,0,580,48,,,2020.0
CAR1536,P. P. Peña del gato,CAR,No,Registered,Forestry & Land Use,Improved Forest Management,Mixed,CAR Mexico Forest Protocol,North America,Mexico,AGUASCALIENTES,"Comunidad de Rancho Viejo, San José de Gracia, Aguascalientes",Bioforestal Innovación Sustentable S.C.,650,0,650,54,,,2020.0
CAR1537,P. P. El Pelón,CAR,No,Registered,Forestry & Land Use,Improved Forest Management,Mixed,CAR Mexico Forest Protocol,North America,Mexico,AGUASCALIENTES,"Comunidad de La Congoja, San José de Gracia, Ags",Bioforestal Innovación Sustentable S.C.,5424,0,5424,465,,,2020.0
CAR1538,P.P. El águila,CAR,No,Registered,Forestry & Land Use,Improved Forest Management,Mixed,CAR Mexico Forest Protocol,North America,Mexico,AGUASCALIENTES,"Comunidad La Congoja, San José de Gracia, Ags",Bioforestal Innovación Sustentable S.C.,294,0,294,24,,,2020.0
CAR1539,P.P. El Tecolote,CAR,No,Registered,Forestry & Land Use,Improved Forest Management,Mixed,CAR Mexico Forest Protocol,North America,Mexico,AGUASCALIENTES,Municipio de Aguascalientes,Bioforestal Innovación Sustentable S.C.,522,0,522,43,,,2020.0
CAR1540,P.P. Estancia Borrotes,CAR,No,Registered,Forestry & Land Use,Improved Forest Management,Mixed,CAR Mexico Forest Protocol,North America,Mexico,AGUASCALIENTES,"Comunidad de La Congoja, San José de Gracia, Ags",Bioforestal Innovación Sustentable S.C.,144,0,144,11,,,2020.0
CAR1542,Ejido Atopixco,CAR,No,Registered,Forestry & Land Use,Improved Forest Management,Mixed,CAR Mexico Forest Protocol,North America,Mexico,HIDALGO,"Zacualtipán de Ángeles, Hidalgo, México",Bioforestal Innovación Sustentable S.C.,5192,2867,2325,433,,,2019.0
CAR1543,Ejido Malila,CAR,No,Registered,Forestry & Land Use,Improved Forest Management,Mixed,CAR Mexico Forest Protocol,North America,Mexico,HIDALGO,"Molango de Escamilla, Hidalgo, México",Bioforestal Innovación Sustentable S.C.,969,969,0,79,,,2020.0
CAR1544,Ejido Zacualtipán,CAR,No,Registered,Forestry & Land Use,Improved Forest Management,Mixed,CAR Mexico Forest Protocol,North America,Mexico,HIDALGO,"Zacualtipán de Ángeles, Hidalgo, México",Bioforestal Innovación Sustentable S.C.,3492,2678,814,291,,,2020.0
CAR1545,Ejido La Selva,CAR,No,Registered,Forestry & Land Use,Improved Forest Management,Mixed,CAR Mexico Forest Protocol,North America,Mexico,VERACRUZ,"Huayacocotla, Veracruz, México",Bioforestal Innovación Sustentable S.C.,28320,18000,10320,2376,,,2020.0
CAR1546,Bienes Comunales Santa Isabel Chalma,CAR,No,Registered,Forestry & Land Use,Improved Forest Management,Mixed,CAR Mexico Forest Protocol,North America,Mexico,STATE OF MÉXICO,"Amecameca, Estado de México, México",Bioforestal Innovación Sustentable S.C.,3162,0,3162,263,,,2020.0
CAR1547,Bienes Comunales San Pedro Ecatzingo,CAR,No,Registered,Forestry & Land Use,Improved Forest Management,Mixed,CAR Mexico Forest Protocol,North America,Mexico,STATE OF MÉXICO,"Ecatzingo de Hidalgo, Estado de México, México",Bioforestal Innovación Sustentable S.C.,6935,0,6935,580,,,2020.0
CAR1548,Ejido San Antonio de la Rinconada o Tlaltecahuacan,CAR,No,Registered,Forestry & Land Use,Improved Forest Management,Mixed,CAR Mexico Forest Protocol,North America,Mexico,STATE OF MÉXICO,"Tlalmanalco, Estado de México, México",Bioforestal Innovación Sustentable S.C.,1570,0,1570,130,,,2020.0
CAR1549,Proyecto Forestal de Carbono La Mariana,CAR,No,Listed,Forestry & Land Use,Improved Forest Management,Mixed,CAR Mexico Forest Protocol,North America,Mexico,JALISCO,"Municipios de Mixtlán, Cuatla y Mascota",Centro Articulador del Sector Productivo Forestal de Jalisco A.C.,0,0,0,0,,,
