Project ID,Project Name,Voluntary Registry,"ARB 
Project",Voluntary Status,Scope, Type,Reduction / Removal,Methodology / Protocol,Region,Country,State,Project Site Location,Project Developer,"Total Credits 
Issued","Total Credits 
Retired",Total Credits Remaining,"Total Buffer 
Pool Deposits",Reversals Covered by Buffer Pool,Reversals Not Covered by Buffer,First Year of Project
VCS3311,Hai’an Water Management with Rice Cultivation,VCS,No,Registration and verification approval requested,Agriculture,Rice Emission Reductions,Reduction,AMS-III.AU,East Asia,China,,,"Hainan Sunsea Ecological Agriculture Technology Co., Ltd.",0,0,0,0,,,
VCS3312,Adjusted Water Management in Rice Cultivation in North Wuhua County,VCS,No,Under validation,Agriculture,Rice Emission Reductions,Reduction,AMS-III.AU,East Asia,China,,,"Guangzhou Kaifeng Agricultural Technology Co., Ltd.",0,0,0,0,,,
VCS3313,Qiongchang Water Management with Rice Cultivation,VCS,No,Registration and verification approval requested,Agriculture,Rice Emission Reductions,Reduction,AMS-III.AU,East Asia,China,,,"Hainan Sunsea Ecological Agriculture Technology Co., Ltd.",0,0,0,0,,,
VCS3314,Adjusted Water Management in Rice Cultivation in East Wuhua County,VCS,No,Under validation,Agriculture,Rice Emission Reductions,Reduction,AMS-III.AU,East Asia,China,,,"Guangzhou Kaifeng Agricultural Technology Co., Ltd.",0,0,0,0,,,
VCS3315,Adjusted Water Management in Rice Cultivation in South Kaiping City,VCS,No,Under validation,Agriculture,Rice Emission Reductions,Reduction,AMS-III.AU,East Asia,China,,,"Guangzhou Kaifeng Agricultural Technology Co., Ltd.",0,0,0,0,,,
VCS3316,Wanzhong Water Management with Rice Cultivation,VCS,No,Registration and verification approval requested,Agriculture,Rice Emission Reductions,Reduction,AMS-III.AU,East Asia,China,,,"Hainan Sunsea Ecological Agriculture Technology Co., Ltd.",0,0,0,0,,,
VCS3317,Wenchang Water Management with Rice Cultivation,VCS,No,Registration and verification approval requested,Agriculture,Rice Emission Reductions,Reduction,AMS-III.AU,East Asia,China,,,"Hainan Sunsea Ecological Agriculture Technology Co., Ltd.",0,0,0,0,,,
VCS3318,Heilongjiang Nehe Afforestation Project,VCS,No,Under development,Forestry & Land Use,Afforestation/Reforestation,Impermanent Removal,ACM0003,East Asia,China,,,"Nehe Hansenyuan Forestry Investment Co., Ltd",0,0,0,0,,,
VCS3319,Tibet Ngari Improved Grassland Management Project,VCS,No,Under development,Forestry & Land Use,Sustainable Grassland Management,Mixed,VM0026,East Asia,China,,,National Forestry and Grassland Administration Northwest Investigation and Planning Institute,0,0,0,0,,,
VCS332,Dori Alimentos Ltda - Biomass Based Project - Brazil,VCS,No,Registered,Renewable Energy,Biomass,Reduction,AMS-I.C.,South America,Brazil,,,Dori Alimentos LTDA.,219965,201401,18564,0,,,2006.0
VCS3320,Adjusted Water Management in Rice Cultivation in West Wuhua County,VCS,No,Under validation,Agriculture,Rice Emission Reductions,Reduction,AMS-III.AU,East Asia,China,,,"Guangzhou Kaifeng Agricultural Technology Co., Ltd.",0,0,0,0,,,
VCS3321,Hongera Reforestation Project (Mt Kenya and Aberdares),VCS,No,Under validation,Forestry & Land Use,Afforestation/Reforestation,Impermanent Removal,ACM0003,Sub Saharan Africa,Kenya,,,Multiple Proponents,0,0,0,0,,,
VCS3322,BEYAZ PİRAMİT BIOGAS PROJECT,VCS,No,Registration requested,Agriculture,Manure Methane Digester,Reduction,AM0073,Middle East,Turkey,,,Multiple Proponents,0,0,0,0,,,
VCS3324,Ipoá REDD+ Project,VCS,No,Under development,Forestry & Land Use,REDD+,Mixed,VM0007,South America,Brazil,,,Multiple Proponents,0,0,0,0,,,
VCS3325,Nehe Adjusted Water Management in Rice Cultivation,VCS,No,Under development,Agriculture,Rice Emission Reductions,Reduction,AMS-III.AU,East Asia,China,,,"Beijing Hongyuan Chuangxin Energy Technology Co., Ltd",0,0,0,0,,,
VCS3326,Sustainable agriculture programme in Longyuan,VCS,No,Under development,Agriculture,Sustainable Agriculture,Mixed,VM0042,East Asia,China,,,"Gansu Hongmao Agriculture Development Co.,Ltd",0,0,0,0,,,
VCS3327,Installation of high efficiency wood burning cookstoves in Indonesia 1,VCS,No,Under development,Household & Community,Cookstoves,Reduction,VMR0006,South East Asia,Indonesia,,,C-Quest Capital Stoves Asia Limited,0,0,0,0,,,
VCS3328,Installation of high efficiency wood burning cookstoves in Indonesia 2,VCS,No,Under development,Household & Community,Cookstoves,Reduction,VMR0006,South East Asia,Indonesia,,,C-Quest Capital Stoves Asia Limited,0,0,0,0,,,
VCS3329,Installation of high efficiency wood burning cookstoves in Madagascar,VCS,No,Under development,Household & Community,Cookstoves,Reduction,VMR0006,Sub Saharan Africa,Madagascar,,,C-Quest Capital Stoves Asia Limited,0,0,0,0,,,
VCS333,Yunnan Dujiacun Small  Hydropower Project,VCS,No,Registered,Renewable Energy,Hydropower,Reduction,AMS-I.D.,East Asia,China,,,"Luquan Yulong Power Generation Co., Ltd.",54655,53928,727,0,,,2007.0
VCS3330,Installation of high efficiency wood burning cookstoves in Philippines,VCS,No,Under development,Household & Community,Cookstoves,Reduction,VMR0006,South East Asia,Philippines,,,C-Quest Capital Stoves Asia Limited,0,0,0,0,,,
VCS3331,Arva Carbon Ready USA,VCS,No,Under validation,Agriculture,Sustainable Agriculture,Mixed,VM0042,North America,United States,,,Arva Intelligence,0,0,0,0,,,
VCS3332,SIMFlor Programme 2,VCS,No,Under development,Forestry & Land Use,REDD+,Mixed,VM0007,South America,Brazil,,,SIM Sustainable Investment Management,0,0,0,0,,,
VCS3333,Restoration of degraded mangroves as a climate change mitigation and adaptation strategy in Asia CPA 1,VCS,No,Under validation,Forestry & Land Use,Wetland Restoration,Mixed,AR-AM0014,South East Asia,Myanmar,,,Multiple Proponents,0,0,0,0,,,
VCS3334,MARAJÓ REDD+ Project,VCS,No,Under validation,Forestry & Land Use,REDD+,Mixed,VM0037,South America,Brazil,,,Para Redd Projects Limited,0,0,0,0,,,
VCS3335,Developing a voluntary carbon market project for Pench Tiger Reserve in India,VCS,No,Under development,Forestry & Land Use,REDD+,Mixed,VM0037,South Asia,India,,,Tiger Conservation Foundation of Pench Tiger Reserve (TCFP),0,0,0,0,,,
VCS3336,Eastern Yan’an Afforestation Project,VCS,No,Registration and verification approval requested,Forestry & Land Use,Afforestation/Reforestation,Impermanent Removal,AR-ACM0003,East Asia,China,,,National Forestry and Grassland Administration Northwest Investigation and Planning Institute,0,0,0,0,,,
VCS3337,Central Yan’an Afforestation Project,VCS,No,Registration and verification approval requested,Forestry & Land Use,Afforestation/Reforestation,Impermanent Removal,AR-ACM0003,East Asia,China,,,National Forestry and Grassland Administration Northwest Investigation and Planning Institute,0,0,0,0,,,
VCS3338,Yan’an Wuqi Afforestation Project,VCS,No,Registration and verification approval requested,Forestry & Land Use,Afforestation/Reforestation,Impermanent Removal,AR-ACM0003,East Asia,China,,,National Forestry and Grassland Administration Northwest Investigation and Planning Institute,0,0,0,0,,,
VCS3339,Yan’an Aerial Seeding Afforestation Project,VCS,No,Registration requested,Forestry & Land Use,Afforestation/Reforestation,Impermanent Removal,AR-ACM0003,East Asia,China,,,National Forestry and Grassland Administration Northwest Investigation and Planning Institute,0,0,0,0,,,
VCS334,"Methane Recovery Project Cleanergy Wanroij, North Brabant, The Netherlands,",VCS,No,Registered,Agriculture,Manure Methane Digester,Reduction,AMS-I.C.; AMS-III.D.,Europe,Netherlands,,,Cleanergy BV,73626,9529,64097,0,,,2007.0
VCS3340,Boomitra Grassland Restoration in East Africa Through Soil Enrichment,VCS,No,Under development,Agriculture,Sustainable Agriculture,Mixed,VM0042,Sub Saharan Africa,Kenya,,,Boomitra Inc,0,0,0,0,,,
VCS3342,XiCO2e: Mexican Reforestation Project,VCS,No,Under development,Forestry & Land Use,Afforestation/Reforestation,Impermanent Removal,AR-ACM0003,North America,Mexico,,,FORLIANCE GmbH,0,0,0,0,,,
VCS3343,XiCO2e: Mexican Peninsula Forest Project,VCS,No,Under development,Forestry & Land Use,Improved Forest Management,Mixed,VM0003,North America,Mexico,,,FORLIANCE GmbH,0,0,0,0,,,
VCS3344,The Last Habitat REDD+ project,VCS,No,Under development,Forestry & Land Use,REDD+,Mixed,VM0007,South America,Peru,,,Bosques Amazonicos,0,0,0,0,,,
VCS3346,DEVELOPING CARBON FINANCE PROJECT FOR FARMERS ADOPTING REGENERATIVE AGRICULTURE PRACTICES IN THE INDO-GANGETIC PLAINS,VCS,No,Under development,Agriculture,Sustainable Agriculture,Mixed,VM0042,South Asia,India,,,Varaha ClimateAg Private Limited,0,0,0,0,,,
VCS3347,Developing voluntary carbon market project for Periyar Tiger Reserve in India,VCS,No,Under development,Forestry & Land Use,REDD+,Mixed,VM0037,South Asia,India,,,Periyar Tiger Conservation Foundation (PTCF),0,0,0,0,,,
VCS3348,Huizhou Landfill Gas Power Generation Phase III and IV Project,VCS,No,Registration requested,Waste Management,Landfill Methane,Reduction,ACM0001,East Asia,China,,,"Shenzhen PhasCon Technologies Co.,Ltd.",0,0,0,0,,,
VCS335,"Methane Recovery Project Aben, Wanroij, North Brabant, The Netherlands",VCS,No,Registered,Agriculture,Manure Methane Digester,Reduction,AMS-I.C.; AMS-III.D.,Europe,Netherlands,,,Aben Recycling BV,397716,198413,199303,0,,,2007.0
VCS3350,THE ARR HORIZONTE CARBON PROJECT,VCS,No,Registered,Forestry & Land Use,Afforestation/Reforestation,Impermanent Removal,AR-ACM0003,South America,Brazil,,,Suzano SA,0,0,0,0,,,
VCS3351,CIBO Initiative for Scaling Regenerative Agriculture,VCS,No,Under validation,Agriculture,Sustainable Agriculture,Mixed,VM0042,North America,United States,,,CIBO Technologies,0,0,0,0,,,
VCS3352,Improving Energy Efficiency in Homes Through Smart Thermostat Optimization,VCS,No,Registration requested,Household & Community,Lighting,Reduction,AMS-II.C.,North America,United States,,,"ANEW ENVIRONMENTAL, LLC",0,0,0,0,,,
VCS3353,XESET 2 EXTENTION HYDROPOWER PROJECT,VCS,No,Under validation,Renewable Energy,Hydropower,Reduction,AMS-I.D.,South East Asia,Laos,,,B.B. Energy (Asia) Pte Ltd,0,0,0,0,,,
VCS3355,Methane Avoidance through Biomining of Legacy Waste in India,VCS,No,Under development,Waste Management,Waste Diversion,Reduction,AMS-III.AF.,South Asia,India,,,Himadri Energy International Private Limited,0,0,0,0,,,
VCS3356,Changing Lives via Improved Cooking Initiatives – Philippines,VCS,No,Registration requested,Household & Community,Cookstoves,Reduction,VMR0006,South East Asia,Philippines,,,Multiple Proponents,0,0,0,0,,,
VCS3357,Climate Resilient & Community Driven Mangrove Afforestation Programme,VCS,No,On Hold,Forestry & Land Use,Wetland Restoration,Mixed,AR-AM0014,South Asia,Sri Lanka,,,Multiple Proponents,0,0,0,0,,,
VCS3358,Improved cropland management project in Bwzho,VCS,No,Under development,Agriculture,Sustainable Agriculture,Mixed,VM0042,East Asia,China,,,Guangxi Meiluo Agricultural Science and Technology Co Ltd.,0,0,0,0,,,
VCS3359,Improved cropland management project in Gveihogang,VCS,No,Under development,Agriculture,Sustainable Agriculture,Mixed,VM0042,East Asia,China,,,"Guangxi Yuebao Agriculture and Animal Husbandry Co., Ltd",0,0,0,0,,,
